Unnamed: 0,department_name,department_id,degree_name,degree_id,degree_type,courseStudyNameOnly
18,Dipartimento di Ingegneria e Scienza dell'Informazione,STO0008629,Informatica (LM),informatica(lm)_19,LM,informatica
19,Dipartimento di Lettere e Filosofia,STO0008632,Filologia e critica letteraria (LM),filologiaecriticaletteraria(lm)_20,LM,filologiaecriticaletteraria
20,Dipartimento di Ingegneria Civile Ambientale e Meccanica,STO0008626,Ingegneria civile (LM),ingegneriacivile(lm)_21,LM,ingegneriacivile
21,Dipartimento di Fisica,STO0008627,Fisica (LM),fisica(lm)_22,LM,fisica
22,Dipartimento di Ingegneria Civile Ambientale e Meccanica,STO0008626,Ingegneria per l'ambiente e il territorio (LM),ingegneriaperl'ambienteeilterritorio(lm)_23,LM,ingegneriaperl'ambienteeilterritorio
23,Dipartimento di Ingegneria Civile Ambientale e Meccanica,STO0008626,Ingegneria edile-architettura (LM5),ingegneriaedile-architettura(lm5)_24,LM5,ingegneriaedile-architettura
24,Dipartimento di Ingegneria e Scienza dell'Informazione,STO0008629,Artificial intelligence systems (LM),artificialintelligencesystems(lm)_25,LM,artificialintelligencesystems
25,Dipartimento di Economia e Management,STO0008621,Economia e legislazione d'impresa (LM),economiaelegislazioned'impresa(lm)_26,LM,economiaelegislazioned'impresa
26,Dipartimento di Economia e Management,STO0008621,Management (LM),management(lm)_27,LM,management
27,Dipartimento di Psicologia e Scienze Cognitive,STO0008631,Scienze e tecniche di psicologia cognitiva (LT),scienzeetecnichedipsicologiacognitiva(lt)_28,LT,scienzeetecnichedipsicologiacognitiva
28,Dipartimento di Psicologia e Scienze Cognitive,STO0008631,Psicologia (LM),psicologia(lm)_29,LM,psicologia
29,Dipartimento di Lettere e Filosofia,STO0008632,Lingue moderne (LT),linguemoderne(lt)_30,LT,linguemoderne
30,Dipartimento di Ingegneria Industriale,STO0008625,Ingegneria meccatronica (LM),ingegneriameccatronica(lm)_31,LM,ingegneriameccatronica
31,Dipartimento di Sociologia e Ricerca Sociale,STO0008630,Sociology and social research - sociologia e ricerca sociale (LM),sociologyandsocialresearch-sociologiaericercasociale(lm)_32,LM,sociologyandsocialresearch-sociologiaericercasociale
32,Dipartimento di Matematica,STO0008628,Matematica (LM),matematica(lm)_33,LM,matematica
33,Dipartimento di Lettere e Filosofia,STO0008632,"Letterature euroamericane, traduzione e critica letteraria (LM)","letteratureeuroamericane,traduzioneecriticaletteraria(lm)_34",LM,"letteratureeuroamericane,traduzioneecriticaletteraria"
34,Dipartimento di Psicologia e Scienze Cognitive,STO0008631,Human-computer interaction - interazione persona-macchina (LM),human-computerinteraction-interazionepersona-macchina(lm)_35,LM,human-computerinteraction-interazionepersona-macchina
35,Dipartimento di Economia e Management,STO0008621,International management - management internazionale (LM),internationalmanagement-managementinternazionale(lm)_36,LM,internationalmanagement-managementinternazionale
36,Dipartimento di Sociologia e Ricerca Sociale,STO0008630,Gestione delle organizzazioni e del territorio (LM),gestionedelleorganizzazioniedelterritorio(lm)_37,LM,gestionedelleorganizzazioniedelterritorio
37,Dipartimento di Economia e Management,STO0008621,Finanza (LM),finanza(lm)_38,LM,finanza
38,Dipartimento di Psicologia e Scienze Cognitive,STO0008631,Interfacce e tecnologie della comunicazione (LT),interfacceetecnologiedellacomunicazione(lt)_39,LT,interfacceetecnologiedellacomunicazione
39,Dipartimento di Sociologia e Ricerca Sociale,STO0008630,"Metodologia, organizzazione e valutazione dei servizi sociali (LM)","metodologia,organizzazioneevalutazionedeiservizisociali(lm)_40",LM,"metodologia,organizzazioneevalutazionedeiservizisociali"
