,role,situated_at,unit_id,IS
0,Guest,Department of Physics,STO0008627,GuestSTO0008627
1,Guest,Department of Sociology and social research,STO0008630,GuestSTO0008630
2,Teaching fellow,Department of Humanities,STO0008632,TeachingfellowSTO0008632
3,Teaching assistant,Department of Economics and Management,STO0008621,TeachingassistantSTO0008621
4,Teaching fellow,Department of Sociology and social research,STO0008630,TeachingfellowSTO0008630
5,Full professor,Doctoral School of Social Sciences,STO0000371,FullprofessorSTO0000371
6,Full professor,Department of Sociology and social research,STO0008630,FullprofessorSTO0008630
7,Research collaborator,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,ResearchcollaboratorSTO0008662
8,Teaching assistant,Department of Mathematics,STO0008628,TeachingassistantSTO0008628
9,Research fellowship holder,Department of Mathematics,STO0008628,ResearchfellowshipholderSTO0008628
10,PhD student,PhD programme (Ministerial Decree 45/2013) - Information and Engineering and Computer Science,STO0013634,PhDstudentSTO0013634
11,Staff,Planning Division,STO0000863,StaffSTO0000863
12,Staff,Psychology and Cognitive Science - Laboratory Technicians,STO0008911,StaffSTO0008911
13,Staff,Alumni office,STO0013543,StaffSTO0013543
14,PhD student,Doctoral programme вЂ“ Biomolecular Sciences,STO0002101,PhDstudentSTO0002101
15,Staff,Research Outputs Office,STO0001641,StaffSTO0001641
16,PhD student,Doctoral programme вЂ“ International studies,STO0000462,PhDstudentSTO0000462
17,Full professor,Department of Psychology and Cognitive Science,STO0008631,FullprofessorSTO0008631
18,PhD student,Doctoral programme - Sociology and Social Research (Doctoral School of Social Sciences),STO0004802,PhDstudentSTO0004802
19,Associate professor,Department of Physics,STO0008627,AssociateprofessorSTO0008627
20,Guest,Center for Mind/Brain Sciences - CIMeC,STO0008663,GuestSTO0008663
21,PhD student,Doctoral programme - Le Forme del Testo,STO0010809,PhDstudentSTO0010809
22,Staff,CIMeC - Technical and IT Support,STO0008913,StaffSTO0008913
23,PhD student,Doctoral programme - Cognitive and Brain Sciences,STO0000432,PhDstudentSTO0000432
24,Staff,Social security,STO0000238,StaffSTO0000238
25,Teaching fellow,School of International Studies - SIS,STO0008633,TeachingfellowSTO0008633
26,Research collaborator,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,ResearchcollaboratorSTO0008626
27,Staff,Student Activities Office,STO0000958,StaffSTO0000958
28,Research collaborator,Faculty of Law,STO0008624,ResearchcollaboratorSTO0008624
29,Collaborator,"Language Centre, Test Center and Digital Teaching Resources",STO0008921,CollaboratorSTO0008921
30,Research collaborator,Department of Economics and Management,STO0008621,ResearchcollaboratorSTO0008621
31,Teaching assistant,Department of Industrial Engineering,STO0008625,TeachingassistantSTO0008625
32,Research fellowship holder,Department of Industrial Engineering,STO0008625,ResearchfellowshipholderSTO0008625
33,Associate professor,Faculty of Law,STO0008624,AssociateprofessorSTO0008624
34,Teaching assistant,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,TeachingassistantSTO0008662
35,Guest,Department of Information Engineering and Computer Science,STO0008629,GuestSTO0008629
36,Staff,International Mobility Office - Social Sciences Area and Humanities,STO0012567,StaffSTO0012567
37,Staff,Purchasing and Accounting - Trento,STO0008891,StaffSTO0008891
38,Guest,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,GuestSTO0008662
39,PhD student,Doctoral Program in Industrial Innovation (M.D. 45/2013),STO0012998,PhDstudentSTO0012998
40,Associate professor,Center for Mind/Brain Sciences - CIMeC,STO0008663,AssociateprofessorSTO0008663
41,Associate professor,Department of Psychology and Cognitive Science,STO0008631,AssociateprofessorSTO0008631
42,Associate professor,Department of Industrial Engineering,STO0008625,AssociateprofessorSTO0008625
43,Guest,Department of Industrial Engineering,STO0008625,GuestSTO0008625
44,Staff,International Relations,STO0012564,StaffSTO0012564
45,PhD student,Doctoral programme вЂ“ Physics,STO0000435,PhDstudentSTO0000435
46,Full professor,Department of Mathematics,STO0008628,FullprofessorSTO0008628
47,Research fellowship holder,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,ResearchfellowshipholderSTO0008662
48,Assistant professor,Department of Economics and Management,STO0008621,AssistantprofessorSTO0008621
49,PhD student,Doctoral Program in Agrifood and Environmental Sciences (D.M.45/2013),STO0012999,PhDstudentSTO0012999
50,PhD student,Doctoral programme вЂ“ Comparative and European legal studies,STO0000434,PhDstudentSTO0000434
51,PhD student,"Doctoral programme - Culture d'Europa. Ambiente, spazi, storie, arti, idee",STO0010808,PhDstudentSTO0010808
52,PhD student,Doctoral programme (D.M.45/2013) вЂ“ Cognitive Science,STO0012756,PhDstudentSTO0012756
53,Research fellowship holder,Department of Humanities,STO0008632,ResearchfellowshipholderSTO0008632
54,Guest,Department of Psychology and Cognitive Science,STO0008631,GuestSTO0008631
55,Associate professor,Department of Mathematics,STO0008628,AssociateprofessorSTO0008628
56,Staff,Administrative Services for Teaching and Research Activities - Trento,STO0008890,StaffSTO0008890
57,PhD student,Doctoral programme - Economics and management (Doctoral School of Social Sciences),STO0004803,PhDstudentSTO0004803
58,Staff,Information Engineering and Computer Science - Department Staff,STO0008895,StaffSTO0008895
59,Teaching assistant,Faculty of Law,STO0008624,TeachingassistantSTO0008624
60,Staff,Division for the Valorization and Impact of Research,STO0013553,StaffSTO0013553
61,Staff,BUC Rooms and Training,STO0012836,StaffSTO0012836
62,Teaching assistant,Department of Psychology and Cognitive Science,STO0008631,TeachingassistantSTO0008631
63,Employees' representative for safety issues,University of Trento,STO0000001,Employees'representativeforsafetyissuesSTO0000001
64,Associate professor,Department of Humanities,STO0008632,AssociateprofessorSTO0008632
65,Full professor,Department of Humanities,STO0008632,FullprofessorSTO0008632
66,Assistant professor,Department of Psychology and Cognitive Science,STO0008631,AssistantprofessorSTO0008631
67,Staff,Industrial Engineering - Department Staff,STO0008898,StaffSTO0008898
68,Guest,Department of Humanities,STO0008632,GuestSTO0008632
69,Research fellowship holder,Center for Mind/Brain Sciences - CIMeC,STO0008663,ResearchfellowshipholderSTO0008663
70,Teaching assistant,Centre Agriculture Food Environment - C3A,STO0012250,TeachingassistantSTO0012250
71,Teaching fellow,Department of Economics and Management,STO0008621,TeachingfellowSTO0008621
72,Assistant professor,Department of Mathematics,STO0008628,AssistantprofessorSTO0008628
73,Assistant professor,Faculty of Law,STO0008624,AssistantprofessorSTO0008624
74,Visiting professor,Department of Psychology and Cognitive Science,STO0008631,VisitingprofessorSTO0008631
75,Staff,Contract Office,STO0000907,StaffSTO0000907
76,Guest,Department of Economics and Management,STO0008621,GuestSTO0008621
77,Staff,Maintenance at departments and centres,STO0008866,StaffSTO0008866
78,Staff,Academic and Teaching Staff Office,STO0000868,StaffSTO0000868
79,Staff,Center for Mind/Brain Sciences - Staff,STO0008912,StaffSTO0008912
80,Teaching assistant,Department of Sociology and social research,STO0008630,TeachingassistantSTO0008630
81,Research fellowship holder,Department of Sociology and social research,STO0008630,ResearchfellowshipholderSTO0008630
82,Adjunct professor,Department of Psychology and Cognitive Science,STO0008631,AdjunctprofessorSTO0008631
83,Director,Department of Physics,STO0008627,DirectorSTO0008627
84,Member,Council of Directors,ORI0000101,MemberORI0000101
85,Full professor,Department of Physics,STO0008627,FullprofessorSTO0008627
86,Head,"Protocol, archive and postal services",STO0009626,HeadSTO0009626
87,Staff,"Protocol, archive and postal services",STO0009626,StaffSTO0009626
88,Staff,Communications Staff - Trento,STO0008862,StaffSTO0008862
89,Head,Development of Online Services and User Support,STO0008920,HeadSTO0008920
90,Staff,Development of Online Services and User Support,STO0008920,StaffSTO0008920
91,Staff,Information Engineering and Computer Science - Technical Support,STO0008897,StaffSTO0008897
92,Research fellowship holder,Centre Agriculture Food Environment - C3A,STO0012250,ResearchfellowshipholderSTO0012250
93,Assistant professor,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,AssistantprofessorSTO0008662
94,Staff,Laboratory staff,STO0013711,StaffSTO0013711
95,Teaching fellow,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,TeachingfellowSTO0008662
96,Staff,Core Facilities,STO0013710,StaffSTO0013710
97,Research fellowship holder,Faculty of Law,STO0008624,ResearchfellowshipholderSTO0008624
98,Teaching fellow,Faculty of Law,STO0008624,TeachingfellowSTO0008624
99,Teaching fellow,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,TeachingfellowSTO0008626
100,Teaching assistant,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,TeachingassistantSTO0008626
101,PhD student,Doctoral programme вЂ“ Mathematics,STO0000461,PhDstudentSTO0000461
102,Staff,Property and Real Estate Division,STO0000160,StaffSTO0000160
103,Teaching assistant,Department of Physics,STO0008627,TeachingassistantSTO0008627
104,PhD student,"Doctoral programme вЂ“ Materials, Mechatronics and Systems Engineering",STO0009701,PhDstudentSTO0009701
105,Linguistic expert,University Language Centre,STO0008940,LinguisticexpertSTO0008940
106,Research grant holder,Department of Sociology and social research,STO0008630,ResearchgrantholderSTO0008630
107,Research fellowship holder,Department of Psychology and Cognitive Science,STO0008631,ResearchfellowshipholderSTO0008631
108,Research fellowship holder,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,ResearchfellowshipholderSTO0008626
109,Visiting professor,Faculty of Law,STO0008624,VisitingprofessorSTO0008624
110,Member,"Committee for Equal Opportunities, Well-being at Work and Against Discriminations (CUG)",ORI0000241,MemberORI0000241
111,Research grant holder,Department of Humanities,STO0008632,ResearchgrantholderSTO0008632
112,Deputy coordinator,Doctoral programme - Le Forme del Testo,STO0010809,DeputycoordinatorSTO0010809
113,Associate professor,Doctoral programme - Le Forme del Testo,STO0010809,AssociateprofessorSTO0010809
114,PhD student,"Doctoral programme вЂ“ Civil, environmental and mechanical engineering",STO0009561,PhDstudentSTO0009561
115,Teaching fellow,Centre Agriculture Food Environment - C3A,STO0012250,TeachingfellowSTO0012250
116,Research grant holder,Faculty of Law,STO0008624,ResearchgrantholderSTO0008624
117,Research collaborator,Department of Information Engineering and Computer Science,STO0008629,ResearchcollaboratorSTO0008629
118,Visiting professor,Center for Mind/Brain Sciences - CIMeC,STO0008663,VisitingprofessorSTO0008663
119,Assistant professor,Department of Physics,STO0008627,AssistantprofessorSTO0008627
120,Staff,Orientation office,STO0013562,StaffSTO0013562
121,PhD student,"PhD programme (Ministerial Decree 45/2013) - Sustainability: Economics, Environment, Management and Society",STO0013318,PhDstudentSTO0013318
122,Staff,"Student Support Service: Economics, Law and International Studies",STO0008929,StaffSTO0008929
