,role,situated_at,unit_id,IS
233,Coordinator,Doctoral programme - Cognitive and Brain Sciences,STO0000432,CoordinatorSTO0000432
234,Full professor,Doctoral programme - Cognitive and Brain Sciences,STO0000432,FullprofessorSTO0000432
235,Research grant holder,Department of Psychology and Cognitive Science,STO0008631,ResearchgrantholderSTO0008631
236,Vice-Rector,University of Trento,STO0000001,Vice-RectorSTO0000001
237,Rector's delegate for Internships and Placements,University of Trento,STO0000001,Rector'sdelegateforInternshipsandPlacementsSTO0000001
238,Deputy dean,Department of Economics and Management,STO0008621,DeputydeanSTO0008621
239,Assistant professor,Center for Mind/Brain Sciences - CIMeC,STO0008663,AssistantprofessorSTO0008663
240,Vice-Rector for research,University of Trento,STO0000001,Vice-RectorforresearchSTO0000001
241,Research fellowship holder,Department of Economics and Management,STO0008621,ResearchfellowshipholderSTO0008621
242,Staff,Special Projects,STO0013041,StaffSTO0013041
243,Students' representative,Industrial Engineering - Department Council,ORI0000263,Students'representativeORI0000263
244,Assistant professor,Department of Humanities,STO0008632,AssistantprofessorSTO0008632
245,Associate professor,Centre for Medical Sciences - CISMED,STO0013533,AssociateprofessorSTO0013533
246,PhD student,Corso di Dottorato (D.M.226/2021) - Forme del testo e dello scambio culturale,STO0013848,PhDstudentSTO0013848
247,Rector's delegate for Initiatives on Linguistic Minorities,University of Trento,STO0000001,Rector'sdelegateforInitiativesonLinguisticMinoritiesSTO0000001
248,PhD student,Doctoral programme (D.M.45/2013) - Forms of cultural exchange,STO0013015,PhDstudentSTO0013015
249,Teaching fellow,"Doctoral programme вЂ“ Civil, environmental and mechanical engineering",STO0009561,TeachingfellowSTO0009561
250,Staff,ICT Services Division - Trento,STO0008874,StaffSTO0008874
251,Member,Data Protection Committee,ORI0000285,MemberORI0000285
252,Rector's delegate for University Community Surveys and Analyses,University of Trento,STO0000001,Rector'sdelegateforUniversityCommunitySurveysandAnalysesSTO0000001
253,Member,Committee of PhD Candidates and Research Fellowship Holders,ORI0000221,MemberORI0000221
254,Staff,Humanities - Department Staff,STO0008903,StaffSTO0008903
255,Head,Tax Accounting,STO0000240,HeadSTO0000240
256,Staff,Tax Accounting,STO0000240,StaffSTO0000240
257,Director,Faculty of Law,STO0008624,DirectorSTO0008624
258,Coordinator,Doctoral programme вЂ“ Comparative and European legal studies,STO0000434,CoordinatorSTO0000434
259,Full professor,Doctoral programme вЂ“ Comparative and European legal studies,STO0000434,FullprofessorSTO0000434
260,Staff,Cataloguing and Acquisitions Office,STO0012833,StaffSTO0012833
261,Adjunct professor,Department of Physics,STO0008627,AdjunctprofessorSTO0008627
262,Emeritus professor,University of Trento,STO0000001,EmeritusprofessorSTO0000001
263,Staff,E-Learning,STO0000962,StaffSTO0000962
264,Emeritus professor,Department of Physics,STO0008627,EmeritusprofessorSTO0008627
265,Staff,Mathematics - Department Staff,STO0008894,StaffSTO0008894
266,Staff,"Student Support Service: Psychology and Cognitive Science, Mind and Brain Centre",STO0008935,StaffSTO0008935
267,Staff,Library - Acquisitions and Contracts Division,STO0012832,StaffSTO0012832
268,Head,Administrative Services for Teaching and Research Activities - Trento,STO0008890,HeadSTO0008890
269,Head,Administration and Accounting Services - Trento,STO0008886,HeadSTO0008886
270,Staff,Administration and Accounting Services - Trento,STO0008886,StaffSTO0008886
271,Students' representative,Humanities - Department Council,ORI0000270,Students'representativeORI0000270
272,Member,Board of Auditors,ORI0000006,MemberORI0000006
273,Research collaborator,Department of Industrial Engineering,STO0008625,ResearchcollaboratorSTO0008625
274,Member,The University Animal Welfare Committee (OPBA),ORI0000275,MemberORI0000275
275,Research collaborator,Department of Humanities,STO0008632,ResearchcollaboratorSTO0008632
276,Head,Mechanics,STO0000336,HeadSTO0000336
277,Head,Cryogenics,STO0000354,HeadSTO0000354
278,Staff,Cryogenics,STO0000354,StaffSTO0000354
